Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Hypochaeris radicata, ,2-Jun,26-May,4-May, ,13-May,22-May, ,8-Jun, , ,3-Jun, , , , ,27-May, , , ,26-May,20-May, ,1-Jun,8-Jun, ,5-Jun,24-May,26-May, ,15-May, ,11-Jun, ,28-May,26-May,, ,2-Jun, , ,4-May, ,25-May,22-May,17-May,17-May,,,,,,,,,,,,,,,
Ilex aquifolium , ,1-Jun,26-May,25-Apr,11-May,10-May,8-May, ,27-May,2-Jun, ,20-May,16-May,14-May,19-May,29-May,23-May,14-May,13-May, ,12-May,3-Jun,8-May,15-May,30-May,22-May,13-May,28-Apr,22-Apr,18-May,16-May,25-May, ,6-May, ,19-May,6-May,22-May,17-May,9-May,10-May,13-May, ,23-Apr,14-May,15-May, ,,,,,,,,,,,,,,,
Impatiens glandulifera,5-Jul, , , , ,14-Jul,2-Jul, , ,16-Jul,29-Jun,15-Jul,14-Jun,4-Jul,16-Jul, , ,15-Jul,2-Jul, ,9-Jul,17-Jul, ,13-Jul, ,21-Jul, , ,10-Jul,16-Jul, ,21-Jul, , , ,27-Jun,, ,23-Jun,4-Jul,4-Jul, ,14-Jul, , ,4-Jul, ,,,,,,,,,,,,,,,
Impatiens parviflora,11-Jul,16-Jul, ,19-Jun, , ,30-May,15-Jul,28-Jun,19-Jun, ,14-Jun,17-Jun, , , ,13-Jul,13-Jul,3-Jul, , , , , , , , , , ,13-Jul,17-Jul, ,9-Jul,2-Jul,3-Jul, , ,10-Jul,13-Jun, ,23-May,12-Jul,12-Jun, , ,23-Jun,29-Jun,,,,,,,,,,,,,,,
Inula conyzae, ,31-Jul,5-Aug,13-Jul,3-Aug,31-Jul,8-Aug,31-Jul, , ,24-Jul, ,6-Aug,27-Jul,10-Aug,2-Aug,2-Aug, , ,28-Jul,30-Jul, ,17-Jul,11-Aug,31-Jul,11-Aug, , ,26-Jul,27-Jul,28-Jul, , ,4-Aug, , ,, ,10-Aug, ,5-Aug,24-Jul, , , ,2-Aug, ,,,,,,,,,,,,,,,
Iris pseudacorus,12-Jun,6-Jun,14-Jun,21-May, , , , , , , , , , ,1-Jun,14-Jun,8-Jun, , , ,4-Jun, ,12-Jun,3-Jun,9-Jun, , , ,3-Jun,11-Jun,10-Jun,2-Jun,8-Jun,3-Jun,24-May,18-May,12-May,14-Jun,3-May,5-Jun,5-May,10-Jun,20-May, ,22-May,21-May,16-May,,,,,,,,,,,,,,,
Juncus effusus  , , , , , ,24-May,10-Jun, , ,11-Jun, ,12-Jun,9-Jun,26-May, ,1-Jun,1-Jun,29-May, , ,4-Jun, , , ,11-Jun,13-Jun, , ,2-Jun,1-Jun,14-Jun,22-Jun,13-Jun,7-Jun, ,23-May,13-May,9-Jun,7-Jun,5-Jun, ,4-May, , , ,27-May,8-Jun,,,,,,,,,,,,,,,
Juncus inflexus  ,16-Jun,19-Jun, , ,20-Jun,17-May,4-Jun,18-May, , , ,6-Jun, ,14-Jun,9-Jun,22-Jun,8-Jun, ,29-May,4-Jun,4-Jun,31-May,15-Jun, ,30-May,16-Jun,15-Jun,11-Jun,30-May, ,16-Jun,9-Jun,9-Jun,3-Jun,23-May,20-May, ,7-Jun,2-Jun,31-May,23-May,17-Jun,11-Jun,23-May,4-Jun, ,17-May,,,,,,,,,,,,,,,
Juncus subnodulosus  , , , ,2-Jul,22-Jun,17-Jun, , ,6-Jul,28-Jun, , , ,1-Jul,6-Jul,5-Jul,18-Jun,12-Jul, ,14-Jul, , , , ,21-Jun, , ,20-Jun,4-Jul,11-Jul, , ,8-Jul, ,3-Jul,21-Jun,26-Jun,8-Jul,26-Jun,17-Jun, ,18-Jun,2-Jul, , ,30-Jun, ,,,,,,,,,,,,,,,
Knautia arvensis,1-Jul,24-Jun,19-Jun,15-Jun,2-Jul,20-Jun,30-Jun, , ,23-Jun,26-Jun, ,23-Jun,3-Jul,9-Jun,28-Jun,20-Jun, ,21-Jun,26-Jun,2-Jul,28-Jun,17-Jun,3-Jun,8-Jun,24-Jun,15-Jun,17-Jun,6-Jun,27-Jun,24-Jun, ,1-Jul,29-May,3-Jul, ,28-Apr,17-Jun, ,28-Jun, ,2-Jul,1-Jul, , , ,27-Jun,,,,,,,,,,,,,,,
Koeleria macrantha  , ,31-May,13-Jun, ,29-May,29-May, ,24-May,1-Jun,3-Jun, ,12-Jun,8-Jun,3-Jun, , ,31-May,30-May, , , ,12-Jun, ,3-Jun, , ,1-Jun, , ,7-Jun,5-Jun,30-May, ,1-Jun, ,4-Jun,, ,8-Jun,10-Jun, , , , ,5-Jun, ,22-May,,,,,,,,,,,,,,,
Lactuca serriola,22-Jul, , , ,19-Jul, , , , , ,20-Jul,29-Jul,6-Aug,4-Aug,16-Jul, , ,23-Jul, , , , ,17-Jul,3-Aug, ,1-Aug,22-Jul,4-Aug,27-Jul,18-Jul,30-Jul,31-Jul,5-Aug,1-Aug, ,8-Jul,16-Jul,21-Jul,8-Jul,5-Aug,15-Jul, ,23-Jul,16-Jul, ,18-Jul, ,,,,,,,,,,,,,,,
Lamiastrum galeobdolon,8-May,29-Apr,7-May,2-Apr,4-May,28-Apr,7-May,16-Apr,12-May,13-May,6-May,11-May,8-May,30-Apr,18-May,15-May,17-May,7-May,5-May,13-May,26-Apr,13-May,5-May,15-May,3-May,20-May,7-Apr,22-Apr,21-Apr,9-May,10-May,9-May,12-May,9-May, ,17-Apr,25-Apr,9-May,10-May, ,16-Apr, ,27-May,20-Apr,1-May,5-May,10-May,,,,,,,,,,,,,,,
Lamium album,10-Mar,10-Mar,7-Apr, , ,22-Mar,6-Mar,2-Mar,19-Apr,22-Apr,6-Apr,30-Mar,1-Mar,4-Mar, ,18-Apr,20-Apr,17-Mar,24-Mar,22-Jan,13-Mar, ,15-Feb,17-Apr,22-Mar,28-Apr,24-Feb,14-Mar, , , ,16-Apr,27-Apr,11-Apr,27-Feb,21-Jan,3-Jan,3-Jan,4-Jan,17-Feb,16-Jan,16-Jan,9-Jan,8-Mar, , , ,,,,,,,,,,,,,,,
Lapsana communis,27-Jun,7-Jun,27-Jun,11-Jun,17-Jun,19-Jun, ,16-Apr, ,22-Jun,26-Jun, ,17-Jun,28-Jun,19-Jun,17-Jun,20-Jun, ,29-Jun,10-Jun,21-Jun,16-Jun,15-Jun, ,17-Jun,21-Jun,15-Jun,22-Jun,9-Jun,26-May,25-Jun,17-Jun,16-Jun,17-Jun,17-Jun,15-Jun,4-Jun, ,3-Jun,22-May,13-May, ,11-Jun,6-Jun, , , ,,,,,,,,,,,,,,,
Larix decidua,1-Apr,8-Apr, ,28-Mar,4-Apr,17-Mar,28-Mar,25-Mar,11-Apr,7-Apr,19-Apr,10-Apr, ,31-Mar, , ,17-Apr,10-Apr,25-Mar,1-Apr, ,16-Apr,20-Mar, , ,21-Apr,19-Apr,16-Apr,31-Mar, , ,11-Apr,26-Apr,5-Apr,13-Apr, ,, ,21-Mar,16-Apr,1-Apr, , , , , ,12-Mar,,,,,,,,,,,,,,,
Lathyrus latifolius, ,12-Jul, ,7-Jul, ,19-Jun,30-Jun, , ,4-Jul,6-Jul,15-Jul,8-Jul,14-Jul,4-Jul, ,22-Jun,6-Jul, ,26-Jun,11-Jul, , , ,17-Jun,10-Jul,17-Jul, ,17-Jun,16-Jul,21-Jun, ,9-Jul,13-Jul,12-Jul,22-Jun,, ,8-Jul, , , ,3-Jul, ,16-Jul,3-Jul,29-Jun,,,,,,,,,,,,,,,
Lathyrus pratensis,13-Jun,17-Jun,12-Jun,11-Jun,14-Jun,24-May,6-Jun,28-May, , ,7-Jun,8-Jun,14-Jun,17-Jun,3-Jun,14-Jun,9-Jun, , , , ,15-Jun,13-Jun, ,4-Jun,19-Jun,12-Jun,15-Jun,8-Jun, ,17-Jun, ,13-Jun, ,10-Jun, ,, ,3-Jun, , , , ,9-Jun, ,9-Jun,13-Jun,,,,,,,,,,,,,,,
Leontodon autumnalis, , , ,26-Jun, ,23-Jul, , , ,14-Jul, , ,21-Jul,21-Jul, ,2-Aug,28-Jul,26-Jul, ,19-Jul,2-Aug,20-Jul,11-Jul,31-Jul,5-Aug,12-Aug,27-Jul, , ,13-Jul,30-Jul, ,9-Jul, ,30-Jul, ,, ,7-Jul,7-Jul,20-Jul,4-Jul,22-Jul,24-Jul,10-Jul,21-Jul, ,,,,,,,,,,,,,,,
Leontodon hispidus,10-Jun,27-May, ,5-Jun, ,24-May,11-Jun,23-May,6-Jun,30-May,7-Jun,6-Jun,4-Jun,30-May,29-May,30-May,4-Jun,29-May,28-May,27-May,25-May,13-Jun,15-May,2-Jun,1-Jun,5-Jun,24-May, ,15-May,8-Jun,29-May,25-May,9-Jun,28-May,7-Jun,27-May,18-May,9-Jun, ,21-May,16-May,11-Jun,26-May, ,23-May,16-May, ,,,,,,,,,,,,,,,
Lepidium draba,18-May,3-May,23-May,9-May,14-May, ,21-Apr, ,16-May,23-May,14-May, ,18-May,9-May,13-May, ,13-May,14-May,5-May,24-Apr,25-Apr,14-May,28-Apr,10-May, ,19-May,9-May, ,22-Apr,5-May,15-May,9-May,22-May,7-May, ,28-Apr, ,17-Apr, ,6-May,5-May,4-May,11-May,17-Apr,10-Apr,23-Apr,13-May,,,,,,,,,,,,,,,
Leucanthemum vulgare, ,23-May,24-May,13-May,14-May,6-May,22-May,20-Apr, , ,14-May,26-Apr,19-May,13-May,13-May,21-May, ,13-May,4-May,16-May,3-May,17-May,18-May,19-May,24-May,24-May,17-May,18-May,15-May,11-May,15-May, ,21-May,7-May,11-May,28-Apr,31-Mar, ,6-May,28-Apr,10-May,15-May,20-May, ,27-Mar,18-Apr, ,,,,,,,,,,,,,,,
Ligustrum vulgare,18-Jun,24-Jun, , ,16-Jun,29-May,6-Jun, , ,21-Jun,26-Jun, ,11-Jun, ,21-Jun,19-Jun,13-Jun, , ,11-Jun, ,23-Jun,17-Jun, ,16-Jun, ,14-Jun,17-Jun,10-Jun,27-Jun, , , ,17-Jun,22-Jun,15-Jun,, ,16-Jun,8-Jun,17-Jun,9-Jun,12-Jun,3-Jun,21-Jun, ,13-Jun,,,,,,,,,,,,,,,
Linaria repens,18-Jul, ,5-Jul,7-Jul, , ,23-Jul, , ,1-Jul,5-Jul, ,27-Jul, , , ,17-Jul,23-Jul, ,26-Jun,2-Jul,21-Jul,25-Jun,12-Jul,13-Jul,5-Jul,31-Jul,14-Jul,30-Jun,2-Jul,4-Jul,28-Jun,20-Jul,13-Jun, , ,, ,28-Jun, , ,2-Jul,3-Jul,24-Jul, ,18-Jul, ,,,,,,,,,,,,,,,
Linaria vulgaris,4-Jul,24-Jun,4-Jul,20-May,22-Jun,20-Jun,8-Jul, ,3-Jul,20-Jun,9-Jul,5-Jul,13-Jun, ,4-Jul,20-Jun,12-Jun, ,3-Jul,11-Jul,11-Jul, ,25-Jun,12-Jul,6-Jul,8-Jul,17-Jun,13-Jul,21-Jun, ,13-Jun, ,16-Jul,13-Jun,3-Jul,22-Jun,, , , ,26-Jun, , ,23-Jun,24-Jun,30-May,27-Jun,,,,,,,,,,,,,,,
Linum catharticum,8-May,24-May,30-May,18-May,16-May,23-May,23-May,23-May,6-Jun,30-May,22-May, , ,25-May,3-Jun, ,2-Jun,29-May,27-May,1-Jun,31-May,28-May, ,13-May,26-May,17-May,14-May,19-May,5-Jun,6-Jun,19-May,2-Jun,4-Jun,9-May,24-May, , ,27-May,2-Jun,23-May,29-May,26-May,20-May,25-May,3-Jun,18-May,3-Jun,,,,,,,,,,,,,,,
Listera ovata, , ,20-May,9-May,22-May,14-May,22-May,17-May, , ,17-May,19-May,22-May,20-May,25-May,6-Jun,5-Jun,29-May,29-May,24-May,25-May,3-Jun, ,3-Jun,26-May,1-Jun,1-Jun, ,24-May,6-Jun,4-Jun,18-May,12-May, ,11-Jun,27-May,11-May, ,14-May,30-May,27-May, ,12-Jun,3-Jun,23-May,18-May,6-May,,,,,,,,,,,,,,,
Lonicera periclymenum,24-Jun,25-Jun,29-Jun,8-Jun,16-Jun,3-Jun,6-Jun,24-Apr,30-Jun,23-Jun,25-May, ,18-Jun,3-Jun, ,27-Jun,20-Jun,19-Jun,30-Jun,5-Jun, ,31-May,11-Jun, ,22-Jun,29-Jun,12-Jun,18-Jun,9-Jun,28-Jun,22-Jun,15-Jun,29-Jun,22-Jun,24-Jun,31-May,19-May, ,4-Jun,5-Jun,30-May,8-Jun,14-Jun,1-Jun,5-Jun,24-May,2-Jun,,,,,,,,,,,,,,,
Lotus corniculatus,14-May,9-May,14-May,8-May,17-May,14-May,13-May,18-Apr,12-May,17-May,17-May,24-Apr,19-May,19-May,15-May,23-May,14-May,14-May,3-May,21-May,10-May,17-May,8-May,26-May,23-May,18-May,14-May,20-May,15-May,17-May,8-May,10-May,24-May,7-May,11-May,11-May,11-May, ,17-May, ,15-May,6-May,20-May,5-May, , ,20-May,,,,,,,,,,,,,,,
Lotus pedunculatus, ,29-Jun,5-Jul,2-Jul, ,21-Jun,2-Jul, , , ,4-Jul, ,13-Jun,1-Jul,6-Jul, , , , , ,30-Jun, , ,6-Jul,6-Jul, , ,4-Jul,3-Jul,2-Jul, ,4-Jul,2-Jul,6-Jul,9-Jul,21-Jun,, ,26-Jun,29-Jun, ,19-Jun,12-Jul, , , , ,,,,,,,,,,,,,,,
Lunaria annua,29-Apr,14-Apr, , ,28-Apr,18-Apr, ,25-Mar,30-Apr,26-Apr,3-May,25-Apr,25-Mar,14-Apr,20-Apr,26-Apr,1-May,18-Apr,17-Apr,12-Apr,5-Apr,21-Mar,14-Apr,31-Mar,31-Mar,26-Apr,17-Apr,16-Apr,9-Apr,25-Apr,25-Apr,14-Apr,30-Apr,8-Apr,16-Apr,22-Mar,4-Apr,26-Mar,9-Apr,30-Mar,19-Mar,24-Mar, ,25-Mar,5-Apr, ,7-Apr,,,,,,,,,,,,,,,
Luzula campestris,10-Apr,10-Apr,11-Apr,16-Mar,12-Apr,31-Mar,7-Apr,16-Mar,22-Apr,25-Apr,16-Apr,14-Apr,31-Mar,10-Mar,12-Apr,10-Apr,24-Apr,16-Apr,3-Apr,14-Apr,5-Apr,13-Mar,7-Apr,4-Apr,6-Apr, ,15-Apr,6-Apr,9-Apr,9-Apr,14-Apr, ,22-Apr, ,26-Mar,25-Mar,26-Mar,30-Mar,1-Apr,16-Mar,30-Mar,26-Mar, ,20-Mar, ,23-Mar,20-Mar,,,,,,,,,,,,,,,
Luzula pilosa  , , , ,25-Feb,23-Feb, , ,24-Feb, ,21-Mar, ,24-Feb,26-Feb,24-Feb, ,1-Feb,20-Mar,7-Mar,18-Mar,8-Mar,27-Feb,12-Jan,5-Mar,6-Mar, , ,3-Mar,1-Mar,3-Mar,16-Jan,18-Mar,11-Mar,22-Mar,29-Feb,16-Feb,30-Jan,27-Feb,7-Mar,8-Mar,13-Feb,29-Feb, ,27-Mar,27-Feb,19-Feb, ,6-Mar,,,,,,,,,,,,,,,
Lychnis flos-cuculi, ,31-May, ,8-May,29-May,1-May,30-May,17-May, ,9-Jun,24-May,5-Jun,20-May,9-Jun,1-Jun,31-May,2-Jun,4-Jun,4-May,3-Jun,7-Jun,30-May, ,1-Jun,29-May,15-Jun, ,27-May,1-May,29-May,10-Jun,1-Jun,7-Jun,23-May,14-May,17-May,5-May,7-Jun,16-May,31-May,23-May,9-May,5-Jun,4-May,19-May,22-May, ,,,,,,,,,,,,,,,
Lycopus europaeus,24-Jul,19-Jul,1-Aug,8-Jul,22-Jul,24-Jul, ,5-Aug,4-Aug,29-Jul,19-Jul,21-Jul,27-Jul,4-Aug,3-Aug,26-Jul,23-Jul, ,3-Aug, , , ,7-Jul,1-Aug,26-Jul,26-Jul,22-Jul, ,6-Jul, ,24-Jul,30-Jul,20-Jul,14-Jul,2-Aug,21-Jul,14-Jul, ,7-Jul,21-Jul,21-Jul, ,8-Aug,27-Jul, , , ,,,,,,,,,,,,,,,
Lythrum salicaria,15-Jul,15-Jul, ,2-Jul,13-Jul,25-Jun,2-Jul, , , , , , ,21-Jul, , ,13-Jul, , ,19-Jul, ,30-Jun,15-Jul, , , , , ,29-Jun,11-Jul,18-Jul, ,21-Jul, ,14-Jul,27-Jun,26-Jun,23-Jul,23-Jun,16-Jul, ,1-Jul, ,9-Jul, , ,29-Jun,,,,,,,,,,,,,,,
Mahonia aquifolium,22-Mar,11-Mar, ,9-Feb, ,6-Mar,1-Mar,1-Apr, , , ,3-Apr,4-Mar,10-Mar, , , ,13-Mar,27-Feb,2-Feb,12-Mar,17-Jan,6-Apr,9-Apr, ,12-Apr,19-Mar,25-Mar,29-Mar,9-Mar,21-Mar,3-Apr,31-Mar,29-Mar,30-Mar,23-Feb,4-Mar, , ,28-Feb,20-Feb,11-Mar,13-Apr,4-Apr, ,25-Feb,30-Mar,,,,,,,,,,,,,,,
Malus domestica, , , , , , ,3-May,15-Apr, , ,7-May,4-May, , , ,11-May,6-May, ,25-Apr, , ,16-May, ,4-May,9-May,15-May,9-May,30-Apr,25-Apr,4-May,7-May,8-May,17-May, ,24-Apr,25-Apr,12-Apr,3-May, ,27-Apr,29-Apr, ,10-May, ,20-Apr,8-Apr, ,,,,,,,,,,,,,,,
Malva moschata   ,10-Jul,28-Jun,1-Jul,2-Jul,11-Jul,22-Jun,2-Jul, , ,20-Jun,3-Jul,7-Jul,7-Jul,13-Jul,3-Jul,4-Jul,9-Jul,5-Jul,14-Jul,15-Jul,13-Jul,30-Jun,20-Jun,5-Jul,6-Jul,2-Jul,9-Jul,17-Jul,19-Jul,4-Jul,2-Jul,1-Jul,9-Jul,7-Jul,3-Jul,7-Jul,7-Jul, ,28-Jun, ,4-Jul, ,16-Jul, ,16-Jul,4-Jul,29-Jun,,,,,,,,,,,,,,,
Malva sylvestris,22-Jun,9-Jun,14-Jun,9-Jun,15-Jun,6-Jun,7-Jun,6-Jun,26-Jun,18-Jun,11-Jun, ,16-Jun,7-Jun,10-Jun,19-Jun,11-Jun,20-Jun,26-Jun,10-Jun, ,31-May,11-Jun,11-Jun,7-Jun,19-Jun,3-Jun,19-Jun,1-Jun,10-Jun,10-Jun,16-Jun,16-Jun,19-Jun,11-Jun,22-May,26-May, ,3-Jun,9-Jun,11-Jun,26-May,14-Jun,2-Jun,3-Jun,21-May,25-May,,,,,,,,,,,,,,,
Matricaria discoidea, ,10-May, ,8-Apr,29-Apr,15-May,17-May,15-Apr, , ,28-May, ,22-May,20-Apr,3-Jun,29-Apr,16-May,26-May,6-May, ,3-Jun,6-Apr,18-May,27-May,8-Jun,22-May, , ,16-May, , , , ,24-May,23-Apr,28-Apr,14-May,21-May, ,28-May, , ,12-May,20-May, ,17-Apr, ,,,,,,,,,,,,,,,
Matricaria recutita, , ,25-May, , , ,24-May, ,1-Jun, , ,2-Jun,2-Jun,29-May,14-Jun,14-Jun,2-Jun,2-Jun,5-Jun,28-May,5-Jun, ,11-Jun,7-Jun,4-Jun,9-Jun,23-May,17-May,23-May,26-May, ,31-May, ,24-May, ,23-May,, ,20-May,1-Jun,2-Jun,27-May, ,10-May,16-May,27-May, ,,,,,,,,,,,,,,,
Medicago lupulina,7-May,22-Apr,6-May,17-Apr,2-May,4-Apr,8-May,8-Apr,6-May,8-May,4-May,29-Apr, ,6-May,18-Apr,15-May,14-May,13-Apr,22-Apr,27-Apr,12-May,19-Apr,9-May,24-May,11-May, ,17-May,18-Apr,24-Apr,29-Apr,2-May,4-May,17-May,7-May,11-May,8-May,25-Apr,6-May,28-Apr,28-Apr,27-Apr, , ,13-May,10-May,3-May,3-May,,,,,,,,,,,,,,,
Melica uniflora  , ,6-May,11-May,5-Apr,9-May,16-Apr,28-Apr,10-Apr,2-May,11-May,1-May,21-Apr, ,19-Apr,3-May,3-May,16-May,6-May,8-Apr,6-May,13-Apr, ,23-Apr,30-Apr,2-May, ,10-May,19-Apr,25-Apr,27-Apr,28-Apr,5-May,11-May,5-May,17-Apr,16-Apr,14-Apr,14-Apr,19-Apr,1-May,20-Apr,4-May, ,29-Apr,18-Apr,15-Apr,3-May,,,,,,,,,,,,,,,
Melilotus albus,24-Jul, ,26-Jul, , , , , ,3-Jul,4-Jul, , ,22-Jul,17-Jul,21-Jul, ,19-Jul,6-Jul, , ,28-Jun,26-Jun, ,6-Jul,29-Jun,16-Jul, ,9-Jul,30-Jun,29-Jun, , ,14-Jul,2-Jul, ,22-Jun,14-Jun,17-Jul,8-Jul,21-Jul,3-Jul,27-Jun,3-Jul,4-Jul, ,20-Jun, ,,,,,,,,,,,,,,,
Melilotus altissimus, , , , ,22-Jun,12-Jun,11-Jun,11-Jun, ,21-Jun,8-Jun, ,18-Jun,17-Jun,9-Jun,19-Jun,17-Jun, , ,21-Jun, ,15-Jun,12-Jun, ,5-Jun, ,15-Jun,21-Jun, , ,25-Jun,30-Jun,1-Jul,17-Jun,22-Jun,29-May,, ,6-Jun,15-Jun,4-Jul, ,21-Jul,14-Jun, , ,5-Jun,,,,,,,,,,,,,,,
Melilotus officinalis, ,24-Jun,19-Jun, ,18-Jun, ,7-Jun, , , , , ,15-Jun,20-Jun,9-Jun,10-Jun,18-Jun,6-Jun, , ,12-Jun,23-Jun,25-Jun,30-Jun,13-Jun,20-Jun,23-Jun,11-Jun,3-Jun, ,18-Jun,24-Jun,17-Jun,18-Jun, ,7-Jun,, ,5-Jun, ,18-Jun, ,17-Jun,22-Jun, ,31-May,29-Jun,,,,,,,,,,,,,,,
Mentha aquatica,3-Aug,2-Aug,1-Aug,6-Aug,30-Jul,24-Jul,5-Aug,27-Jul,7-Aug,8-Aug,26-Jul,6-Aug,5-Aug,4-Aug,3-Aug,7-Aug, ,19-Aug,17-Aug,15-Aug,19-Aug, ,30-Jul,12-Aug, , ,9-Aug,7-Aug,6-Aug,26-Aug,3-Aug,8-Aug,3-Aug,13-Aug,13-Aug, ,24-Jul,4-Aug,26-Jul,5-Aug,21-Jul,13-Aug,8-Aug,27-Jul, ,22-Jul, ,,,,,,,,,,,,,,,
Mentha arvensis,21-Jul,26-Jul,24-Jul,23-Jul,27-Jul,17-Jul,29-Jul,12-Jul,27-Jul,5-Aug,26-Jul,6-Aug,2-Aug,2-Aug, ,26-Jul,14-Jul,23-Jul,30-Jul,21-Jul,1-Aug,31-Jul, , ,3-Aug,1-Aug,24-Jul,17-Jul,10-Aug,24-Jul,18-Jul, ,24-Jul,28-Jul,24-Jul,9-Jul,29-Jul,8-Aug, ,25-Jul,4-Aug,5-Aug, ,30-Jul,22-Jul, , ,,,,,,,,,,,,,,,
Mercurialis perennis,7-Mar,4-Mar, ,2-Feb,16-Feb,4-Mar,14-Feb,5-Feb,12-Feb,28-Mar,21-Mar,17-Mar,28-Feb,25-Feb, ,9-Mar, ,15-Feb,19-Feb,25-Jan,28-Feb,6-Jan, ,14-Feb,27-Feb,1-Apr,24-Feb,26-Jan,23-Feb,17-Jan,11-Mar,25-Feb,23-Mar,24-Feb,16-Feb,18-Jan,, ,9-Feb,24-Jan,30-Jan,15-Jan,15-Feb,4-Mar,24-Jan,29-Jan,29-Jan,,,,,,,,,,,,,,,
Milium effusum  , , , ,27-May,29-May,16-May,21-May,12-May,7-Jun,16-Jun,7-Jun, ,23-May,26-May,2-Jun,29-May,31-May, ,23-May,26-May,27-May,24-May, ,5-Jun,5-Jun,10-Jun,24-May, , ,10-Jun, ,1-Jun,6-Jun,4-Jun, ,7-May,28-May,1-Jun, ,27-May, , ,12-Jun,12-May, ,23-May, ,,,,,,,,,,,,,,,
Moehringia trinervia,10-May,9-May,10-May,14-Apr, ,16-Apr,30-Apr,17-Apr,6-May,17-May,10-May,1-May,22-Apr,29-Apr,27-Apr,13-May,16-May,8-May,6-May, ,15-Apr,22-Mar,18-May,14-May, ,23-May,15-Apr,29-Apr,27-Apr,19-May,7-May,16-May,23-May,8-May,24-Apr,20-Apr,17-Apr,2-May,4-Apr,24-Apr,28-Apr, ,19-May, ,6-May, , ,,,,,,,,,,,,,,,
Mycelis muralis,2-Jul,1-Jul,27-Jun,7-Jun,28-Jun,29-May,28-Jun,17-Jun,7-Jul,15-Jun,22-Jun,2-Jul,12-Jun,2-Jun,13-Jul,1-Jul,19-Jun, ,6-Jul, ,28-Jun,10-Jun,18-Jun,1-Jul,12-Jun,22-Jun,5-Jun,22-Jun,18-Jun,1-Jul,20-Jun,1-Jul,30-Jun,24-Jun,7-Jul,14-Jun,15-Jul, ,8-Jun,11-Jun,15-Jun,12-Jun,17-Jun,4-Jun,19-May,6-Jun,12-Jun,,,,,,,,,,,,,,,
Myosotis arvensis,26-Apr,29-Apr,13-May,4-Apr,10-May,4-May,22-Apr,14-Apr,20-May,10-May,13-May,14-May,9-May,7-May,14-May, ,15-May,7-May,5-May,27-Apr,9-May,12-May,8-May,13-May, ,27-May,14-May,2-May,30-Apr,7-May,11-May,11-May,15-May,9-May,9-Apr,31-Mar, ,13-May,29-Apr,17-Apr,1-May,15-Apr, ,12-Apr,10-Apr,1-May,8-May,,,,,,,,,,,,,,,
Myosotis scorpioides, ,11-Jun,14-Jun, ,16-Jun, , , , ,22-Jun, , ,13-Jun, ,14-Jun, ,8-Jun, , ,21-Jun,3-Jun, ,13-Jun, ,8-Jun,20-Jun, , ,5-Jun, ,14-Jun,15-Jun, ,7-Jun,17-Jun,20-Jun,, ,7-Jun, ,5-Jun,23-Jun, , ,21-Jun,22-May,12-Jun,,,,,,,,,,,,,,,
Myosotis sylvatica,17-Apr, , , ,20-Apr,1-Apr,16-Apr, , , , ,4-Apr,1-Apr,1-Apr,11-Apr, , ,17-Apr,7-Apr,6-Apr,12-Apr,13-Apr, , , , ,15-Apr,27-Mar,10-Apr,6-Apr,22-Apr,6-Apr,26-Apr,5-Apr,26-Mar,10-Mar,23-Mar,24-Mar,2-Apr,18-Mar,30-Mar, , ,3-Apr,12-Feb,13-Apr,23-Apr,,,,,,,,,,,,,,,
Neottia nidus-avis, ,5-Jun, ,23-May, ,23-May,3-Jun,12-May,24-May,26-May,16-May,15-May,23-May,20-May,28-May,24-May, , , ,4-Jun,31-May, , ,2-Jun, , , , ,29-May, ,13-Jun, ,5-Jun,29-May,5-Jun,23-May,, ,17-May,12-May,20-May,23-May, , , ,11-May,21-May,,,,,,,,,,,,,,,
Odontites verna,5-Jul,12-Jul,18-Jul,9-Jul, , ,2-Jul,16-Jul, ,14-Jul,5-Jul, , ,9-Jul,23-Jun, , , ,6-Jul, ,4-Jul, ,10-Jul,20-Jul,9-Jul,6-Aug,27-Jul,13-Jul,21-Jul,14-Jul,16-Jul,7-Jul, ,3-Aug,22-Jun, ,, ,16-Jul,19-Jul,2-Jul, , ,9-Jul,22-Jul,11-Jul, ,,,,,,,,,,,,,,,
Onobrychis viciifolia, ,3-Jun,23-May,16-May, , ,16-May,24-May, ,3-Jun, ,6-Jun,1-Jun,8-Jun,24-May, , ,3-Jun, ,6-Sep, ,10-Jun,22-May,9-Jun,2-Jun,10-Jun,9-Jun,29-May,23-May, ,29-May,26-May,15-Jun, ,31-May,22-May,29-May,12-Jun,6-Jun,1-Jun,14-Jun,7-Jun,26-May, ,29-May, , ,,,,,,,,,,,,,,,
